       1       1     120      10      11 4.78749 2.30259 2.39790
       1       2     140      10       8 4.94164 2.30259 2.07944
       2       3      95      20      54 4.55388 2.99573 3.98898
       2       4     125      20      25 4.82831 2.99573 3.21888
       3       5      80      40     100 4.38203 3.68888 4.60517
       3       6      75      40      80 4.31749 3.68888 4.38203
       4       7      65      80     220 4.17439 4.38203 5.39363
       4       8      50      80     150 3.91202 4.38203 5.01064
       5       9      55     160     410 4.00733 5.07517 6.01616
       5      10      40     160     500 3.68888 5.07517 6.21461
       6      11      40     320     660 3.68888 5.76832 6.49224
       6      12      38     320     600 3.63759 5.76832 6.39693
       7      13      32     640     810 3.46574 6.46147 6.69703
       7      14      36     640     750 3.58352 6.46147 6.62007
       8      15      25    1280     890 3.21888 7.15462 6.79122
       8      16      25    1280     800 3.21888 7.15462 6.68461
       9      17      20    2560     990 2.99573 7.84776 6.89770
       9      18      24    2560     900 3.17805 7.84776 6.80239
      10      19      19    5120    1155 2.94444 8.54091 7.05186
      10      20      25    5120    1000 3.21888 8.54091 6.90776
